Question_codes,Question_codes(pt),Question_text,Question_text(pt),Question_conversion,Category,Subcategory,Group,Subgroup,Base_unit,Row
47 - Q76 - Frequency (weekly),X47...Q76...Frequency.(weekly),"Do you eat fast food or fried food? If so, please specify what you eat and how often you consume it (in meals per unit of time). Fill in the frequency column of your choice using numerical values only.  Row 3 - Frequency (weekly)","Do.you.eat.fast.food.or.fried.food?.If.so,.please.specify.what.you.eat.and.how.often.you.consume.it.(in.meals.per.unit.of.time)..Fill.in.the.frequency.column.of.your.choice.using.numerical.values.only. .Row.3.-.Frequency.(weekly)",Fast_food_Frequency_weekly_3,Diet,Fast_food,Frequency,Weekly,,3
47 - Q76 - Frequency (monthly),X47...Q76...Frequency.(monthly),"Do you eat fast food or fried food? If so, please specify what you eat and how often you consume it (in meals per unit of time). Fill in the frequency column of your choice using numerical values only.  Row 3 - Frequency (monthly)","Do.you.eat.fast.food.or.fried.food?.If.so,.please.specify.what.you.eat.and.how.often.you.consume.it.(in.meals.per.unit.of.time)..Fill.in.the.frequency.column.of.your.choice.using.numerical.values.only. .Row.3.-.Frequency.(monthly)",Fast_food_Frequency_monthly_3,Diet,Fast_food,Frequency,Monthly,,3
47 - Q76 - Types of fast food,X47...Q76...Types.of.fast.food,"Do you eat fast food or fried food? If so, please specify what you eat and how often you consume it (in meals per unit of time). Fill in the frequency column of your choice using numerical values only.  Row 4 - Types of fast food","Do.you.eat.fast.food.or.fried.food?.If.so,.please.specify.what.you.eat.and.how.often.you.consume.it.(in.meals.per.unit.of.time)..Fill.in.the.frequency.column.of.your.choice.using.numerical.values.only. .Row.4.-.Types.of.fast.food",Fast_food_Type_4,Diet,Fast_food,Type,,,4
47 - Q76 - Frequency (weekly),X47...Q76...Frequency.(weekly),"Do you eat fast food or fried food? If so, please specify what you eat and how often you consume it (in meals per unit of time). Fill in the frequency column of your choice using numerical values only.  Row 4 - Frequency (weekly)","Do.you.eat.fast.food.or.fried.food?.If.so,.please.specify.what.you.eat.and.how.often.you.consume.it.(in.meals.per.unit.of.time)..Fill.in.the.frequency.column.of.your.choice.using.numerical.values.only. .Row.4.-.Frequency.(weekly)",Fast_food_Frequency_weekly_4,Diet,Fast_food,Frequency,Weekly,,4
47 - Q76 - Frequency (monthly),X47...Q76...Frequency.(monthly),"Do you eat fast food or fried food? If so, please specify what you eat and how often you consume it (in meals per unit of time). Fill in the frequency column of your choice using numerical values only.  Row 4 - Frequency (monthly)","Do.you.eat.fast.food.or.fried.food?.If.so,.please.specify.what.you.eat.and.how.often.you.consume.it.(in.meals.per.unit.of.time)..Fill.in.the.frequency.column.of.your.choice.using.numerical.values.only. .Row.4.-.Frequency.(monthly)",Fast_food_Frequency_monthly_4,Diet,Fast_food,Frequency,Monthly,,4
47 - Q76 - Types of fast food,X47...Q76...Types.of.fast.food,"Do you eat fast food or fried food? If so, please specify what you eat and how often you consume it (in meals per unit of time). Fill in the frequency column of your choice using numerical values only.  Row 5 - Types of fast food","Do.you.eat.fast.food.or.fried.food?.If.so,.please.specify.what.you.eat.and.how.often.you.consume.it.(in.meals.per.unit.of.time)..Fill.in.the.frequency.column.of.your.choice.using.numerical.values.only. .Row.5.-.Types.of.fast.food",Fast_food_Type_5,Diet,Fast_food,Type,,,5
47 - Q76 - Frequency (weekly),X47...Q76...Frequency.(weekly),"Do you eat fast food or fried food? If so, please specify what you eat and how often you consume it (in meals per unit of time). Fill in the frequency column of your choice using numerical values only.  Row 5 - Frequency (weekly)","Do.you.eat.fast.food.or.fried.food?.If.so,.please.specify.what.you.eat.and.how.often.you.consume.it.(in.meals.per.unit.of.time)..Fill.in.the.frequency.column.of.your.choice.using.numerical.values.only. .Row.5.-.Frequency.(weekly)",Fast_food_Frequency_weekly_5,Diet,Fast_food,Frequency,Weekly,,5
47 - Q76 - Frequency (monthly),X47...Q76...Frequency.(monthly),"Do you eat fast food or fried food? If so, please specify what you eat and how often you consume it (in meals per unit of time). Fill in the frequency column of your choice using numerical values only.  Row 5 - Frequency (monthly)","Do.you.eat.fast.food.or.fried.food?.If.so,.please.specify.what.you.eat.and.how.often.you.consume.it.(in.meals.per.unit.of.time)..Fill.in.the.frequency.column.of.your.choice.using.numerical.values.only. .Row.5.-.Frequency.(monthly)",Fast_food_Frequency_monthly_5,Diet,Fast_food,Frequency,Monthly,,5
48 - Q76 - Types of sweets,X48...Q76...Types.of.sweets,"Do you eat sweets? If so, please specify what, how often (daily, weekly, monthly) and in what quantity you consume it (in grams per unit of time). Fill in the frequency column of your choice using numerical values only.  Row 1 - Types of sweets","Do.you.eat.sweets?.If.so,.please.specify.what,.how.often.(daily,.weekly,.monthly).and.in.what.quantity.you.consume.it.(in.grams.per.unit.of.time)..Fill.in.the.frequency.column.of.your.choice.using.numerical.values.only. .Row.1.-.Types.of.sweets",Sweets_Type_1,Diet,Sweets,Type,,,1
48 - Q76 - Frequency (weekly),X48...Q76...Frequency.(weekly),"Do you eat sweets? If so, please specify what, how often (daily, weekly, monthly) and in what quantity you consume it (in grams per unit of time). Fill in the frequency column of your choice using numerical values only.  Row 1 - Frequency (weekly)","Do.you.eat.sweets?.If.so,.please.specify.what,.how.often.(daily,.weekly,.monthly).and.in.what.quantity.you.consume.it.(in.grams.per.unit.of.time)..Fill.in.the.frequency.column.of.your.choice.using.numerical.values.only. .Row.1.-.Frequency.(weekly)",Sweets_Frequency_weekly_1,Diet,Sweets,Frequency,Weekly,,1
48 - Q76 - Frequency (monthly),X48...Q76...Frequency.(monthly),"Do you eat sweets? If so, please specify what, how often (daily, weekly, monthly) and in what quantity you consume it (in grams per unit of time). Fill in the frequency column of your choice using numerical values only.  Row 1 - Frequency (monthly)","Do.you.eat.sweets?.If.so,.please.specify.what,.how.often.(daily,.weekly,.monthly).and.in.what.quantity.you.consume.it.(in.grams.per.unit.of.time)..Fill.in.the.frequency.column.of.your.choice.using.numerical.values.only. .Row.1.-.Frequency.(monthly)",Sweets_Frequency_monthly_1,Diet,Sweets,Frequency,Monthly,,1
48 - Q76 - Quantity (in pieces),X48...Q76...Quantity.(in.pieces),"Do you eat sweets? If so, please specify what, how often (daily, weekly, monthly) and in what quantity you consume it (in grams per unit of time). Fill in the frequency column of your choice using numerical values only.  Row 1 - Quantity (in pieces)","Do.you.eat.sweets?.If.so,.please.specify.what,.how.often.(daily,.weekly,.monthly).and.in.what.quantity.you.consume.it.(in.grams.per.unit.of.time)..Fill.in.the.frequency.column.of.your.choice.using.numerical.values.only. .Row.1.-.Quantity.(in.pieces)",Sweets_Quantity_pieces_1,Diet,Sweets,Quantity,,Pieces,1
48 - Q76 - Types of sweets,X48...Q76...Types.of.sweets,"Do you eat sweets? If so, please specify what, how often (daily, weekly, monthly) and in what quantity you consume it (in grams per unit of time). Fill in the frequency column of your choice using numerical values only.  Row 2 - Types of sweets","Do.you.eat.sweets?.If.so,.please.specify.what,.how.often.(daily,.weekly,.monthly).and.in.what.quantity.you.consume.it.(in.grams.per.unit.of.time)..Fill.in.the.frequency.column.of.your.choice.using.numerical.values.only. .Row.2.-.Types.of.sweets",Sweets_Type_2,Diet,Sweets,Type,,,2
48 - Q76 - Frequency (weekly),X48...Q76...Frequency.(weekly),"Do you eat sweets? If so, please specify what, how often (daily, weekly, monthly) and in what quantity you consume it (in grams per unit of time). Fill in the frequency column of your choice using numerical values only.  Row 2 - Frequency (weekly)","Do.you.eat.sweets?.If.so,.please.specify.what,.how.often.(daily,.weekly,.monthly).and.in.what.quantity.you.consume.it.(in.grams.per.unit.of.time)..Fill.in.the.frequency.column.of.your.choice.using.numerical.values.only. .Row.2.-.Frequency.(weekly)",Sweets_Frequency_weekly_2,Diet,Sweets,Frequency,Weekly,,2
48 - Q76 - Frequency (monthly),X48...Q76...Frequency.(monthly),"Do you eat sweets? If so, please specify what, how often (daily, weekly, monthly) and in what quantity you consume it (in grams per unit of time). Fill in the frequency column of your choice using numerical values only.  Row 2 - Frequency (monthly)","Do.you.eat.sweets?.If.so,.please.specify.what,.how.often.(daily,.weekly,.monthly).and.in.what.quantity.you.consume.it.(in.grams.per.unit.of.time)..Fill.in.the.frequency.column.of.your.choice.using.numerical.values.only. .Row.2.-.Frequency.(monthly)",Sweets_Frequency_monthly_2,Diet,Sweets,Frequency,Monthly,,2
48 - Q76 - Quantity (in pieces),X48...Q76...Quantity.(in.pieces),"Do you eat sweets? If so, please specify what, how often (daily, weekly, monthly) and in what quantity you consume it (in grams per unit of time). Fill in the frequency column of your choice using numerical values only.  Row 2 - Quantity (in pieces)","Do.you.eat.sweets?.If.so,.please.specify.what,.how.often.(daily,.weekly,.monthly).and.in.what.quantity.you.consume.it.(in.grams.per.unit.of.time)..Fill.in.the.frequency.column.of.your.choice.using.numerical.values.only. .Row.2.-.Quantity.(in.pieces)",Sweets_Quantity_pieces_2,Diet,Sweets,Quantity,,Pieces,2
48 - Q76 - Types of sweets,X48...Q76...Types.of.sweets,"Do you eat sweets? If so, please specify what, how often (daily, weekly, monthly) and in what quantity you consume it (in grams per unit of time). Fill in the frequency column of your choice using numerical values only.  Row 3 - Types of sweets","Do.you.eat.sweets?.If.so,.please.specify.what,.how.often.(daily,.weekly,.monthly).and.in.what.quantity.you.consume.it.(in.grams.per.unit.of.time)..Fill.in.the.frequency.column.of.your.choice.using.numerical.values.only. .Row.3.-.Types.of.sweets",Sweets_Type_3,Diet,Sweets,Type,,,3
48 - Q76 - Frequency (weekly),X48...Q76...Frequency.(weekly),"Do you eat sweets? If so, please specify what, how often (daily, weekly, monthly) and in what quantity you consume it (in grams per unit of time). Fill in the frequency column of your choice using numerical values only.  Row 3 - Frequency (weekly)","Do.you.eat.sweets?.If.so,.please.specify.what,.how.often.(daily,.weekly,.monthly).and.in.what.quantity.you.consume.it.(in.grams.per.unit.of.time)..Fill.in.the.frequency.column.of.your.choice.using.numerical.values.only. .Row.3.-.Frequency.(weekly)",Sweets_Frequency_weekly_3,Diet,Sweets,Frequency,Weekly,,3
48 - Q76 - Frequency (monthly),X48...Q76...Frequency.(monthly),"Do you eat sweets? If so, please specify what, how often (daily, weekly, monthly) and in what quantity you consume it (in grams per unit of time). Fill in the frequency column of your choice using numerical values only.  Row 3 - Frequency (monthly)","Do.you.eat.sweets?.If.so,.please.specify.what,.how.often.(daily,.weekly,.monthly).and.in.what.quantity.you.consume.it.(in.grams.per.unit.of.time)..Fill.in.the.frequency.column.of.your.choice.using.numerical.values.only. .Row.3.-.Frequency.(monthly)",Sweets_Frequency_monthly_3,Diet,Sweets,Frequency,Monthly,,3
48 - Q76 - Quantity (in pieces),X48...Q76...Quantity.(in.pieces),"Do you eat sweets? If so, please specify what, how often (daily, weekly, monthly) and in what quantity you consume it (in grams per unit of time). Fill in the frequency column of your choice using numerical values only.  Row 3 - Quantity (in pieces)","Do.you.eat.sweets?.If.so,.please.specify.what,.how.often.(daily,.weekly,.monthly).and.in.what.quantity.you.consume.it.(in.grams.per.unit.of.time)..Fill.in.the.frequency.column.of.your.choice.using.numerical.values.only. .Row.3.-.Quantity.(in.pieces)",Sweets_Quantity_pieces_3,Diet,Sweets,Quantity,,Pieces,3
48 - Q76 - Types of sweets,X48...Q76...Types.of.sweets,"Do you eat sweets? If so, please specify what, how often (daily, weekly, monthly) and in what quantity you consume it (in grams per unit of time). Fill in the frequency column of your choice using numerical values only.  Row 4 - Types of sweets","Do.you.eat.sweets?.If.so,.please.specify.what,.how.often.(daily,.weekly,.monthly).and.in.what.quantity.you.consume.it.(in.grams.per.unit.of.time)..Fill.in.the.frequency.column.of.your.choice.using.numerical.values.only. .Row.4.-.Types.of.sweets",Sweets_Type_4,Diet,Sweets,Type,,,4
48 - Q76 - Frequency (weekly),X48...Q76...Frequency.(weekly),"Do you eat sweets? If so, please specify what, how often (daily, weekly, monthly) and in what quantity you consume it (in grams per unit of time). Fill in the frequency column of your choice using numerical values only.  Row 4 - Frequency (weekly)","Do.you.eat.sweets?.If.so,.please.specify.what,.how.often.(daily,.weekly,.monthly).and.in.what.quantity.you.consume.it.(in.grams.per.unit.of.time)..Fill.in.the.frequency.column.of.your.choice.using.numerical.values.only. .Row.4.-.Frequency.(weekly)",Sweets_Frequency_weekly_4,Diet,Sweets,Frequency,Weekly,,4
48 - Q76 - Frequency (monthly),X48...Q76...Frequency.(monthly),"Do you eat sweets? If so, please specify what, how often (daily, weekly, monthly) and in what quantity you consume it (in grams per unit of time). Fill in the frequency column of your choice using numerical values only.  Row 4 - Frequency (monthly)","Do.you.eat.sweets?.If.so,.please.specify.what,.how.often.(daily,.weekly,.monthly).and.in.what.quantity.you.consume.it.(in.grams.per.unit.of.time)..Fill.in.the.frequency.column.of.your.choice.using.numerical.values.only. .Row.4.-.Frequency.(monthly)",Sweets_Frequency_monthly_4,Diet,Sweets,Frequency,Monthly,,4
48 - Q76 - Quantity (in pieces),X48...Q76...Quantity.(in.pieces),"Do you eat sweets? If so, please specify what, how often (daily, weekly, monthly) and in what quantity you consume it (in grams per unit of time). Fill in the frequency column of your choice using numerical values only.  Row 4 - Quantity (in pieces)","Do.you.eat.sweets?.If.so,.please.specify.what,.how.often.(daily,.weekly,.monthly).and.in.what.quantity.you.consume.it.(in.grams.per.unit.of.time)..Fill.in.the.frequency.column.of.your.choice.using.numerical.values.only. .Row.4.-.Quantity.(in.pieces)",Sweets_Quantity_pieces_4,Diet,Sweets,Quantity,,Pieces,4
48 - Q76 - Types of sweets,X48...Q76...Types.of.sweets,"Do you eat sweets? If so, please specify what, how often (daily, weekly, monthly) and in what quantity you consume it (in grams per unit of time). Fill in the frequency column of your choice using numerical values only.  Row 5 - Types of sweets","Do.you.eat.sweets?.If.so,.please.specify.what,.how.often.(daily,.weekly,.monthly).and.in.what.quantity.you.consume.it.(in.grams.per.unit.of.time)..Fill.in.the.frequency.column.of.your.choice.using.numerical.values.only. .Row.5.-.Types.of.sweets",Sweets_Type_5,Diet,Sweets,Type,,,5
48 - Q76 - Frequency (weekly),X48...Q76...Frequency.(weekly),"Do you eat sweets? If so, please specify what, how often (daily, weekly, monthly) and in what quantity you consume it (in grams per unit of time). Fill in the frequency column of your choice using numerical values only.  Row 5 - Frequency (weekly)","Do.you.eat.sweets?.If.so,.please.specify.what,.how.often.(daily,.weekly,.monthly).and.in.what.quantity.you.consume.it.(in.grams.per.unit.of.time)..Fill.in.the.frequency.column.of.your.choice.using.numerical.values.only. .Row.5.-.Frequency.(weekly)",Sweets_Frequency_weekly_5,Diet,Sweets,Frequency,Weekly,,5
48 - Q76 - Frequency (monthly),X48...Q76...Frequency.(monthly),"Do you eat sweets? If so, please specify what, how often (daily, weekly, monthly) and in what quantity you consume it (in grams per unit of time). Fill in the frequency column of your choice using numerical values only.  Row 5 - Frequency (monthly)","Do.you.eat.sweets?.If.so,.please.specify.what,.how.often.(daily,.weekly,.monthly).and.in.what.quantity.you.consume.it.(in.grams.per.unit.of.time)..Fill.in.the.frequency.column.of.your.choice.using.numerical.values.only. .Row.5.-.Frequency.(monthly)",Sweets_Frequency_monthly_5,Diet,Sweets,Frequency,Monthly,,5
48 - Q76 - Quantity (in pieces),X48...Q76...Quantity.(in.pieces),"Do you eat sweets? If so, please specify what, how often (daily, weekly, monthly) and in what quantity you consume it (in grams per unit of time). Fill in the frequency column of your choice using numerical values only.  Row 5 - Quantity (in pieces)","Do.you.eat.sweets?.If.so,.please.specify.what,.how.often.(daily,.weekly,.monthly).and.in.what.quantity.you.consume.it.(in.grams.per.unit.of.time)..Fill.in.the.frequency.column.of.your.choice.using.numerical.values.only. .Row.5.-.Quantity.(in.pieces)",Sweets_Quantity_pieces_5,Diet,Sweets,Quantity,,Pieces,5
49 - Q72 - Unit of time,X49...Q72...Unit.of.time,"What processed foods do you consume? Please, indicate if you consume these beverages daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively.  Bacon - Unit of time","What.processed.foods.do.you.consume?.Please,.indicate.if.you.consume.these.beverages.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively. .Bacon.-.Unit.of.time",Processed_foods_Bacon_Time,Diet,Processed_foods,Bacon,Time,,
49 - Q72 - Unit of time,X49...Q72...Unit.of.time,"What processed foods do you consume? Please, indicate if you consume these beverages daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively.  Bread - Unit of time","What.processed.foods.do.you.consume?.Please,.indicate.if.you.consume.these.beverages.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively. .Bread.-.Unit.of.time",Processed_foods_Bread_Time,Diet,Processed_foods,Bread,Time,,
49 - Q72 - Unit of time,X49...Q72...Unit.of.time,"What processed foods do you consume? Please, indicate if you consume these beverages daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively.  Breakfast cereals - Unit of time","What.processed.foods.do.you.consume?.Please,.indicate.if.you.consume.these.beverages.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively. .Breakfast.cereals.-.Unit.of.time",Processed_foods_Breakfast_cereals_Time,Diet,Processed_foods,Breakfast_cereals,Time,,
49 - Q72 - Unit of time,X49...Q72...Unit.of.time,"What processed foods do you consume? Please, indicate if you consume these beverages daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively.  Cakes and biscuits - Unit of time","What.processed.foods.do.you.consume?.Please,.indicate.if.you.consume.these.beverages.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively. .Cakes.and.biscuits.-.Unit.of.time",Processed_foods_Cakes_biscuits_Time,Diet,Processed_foods,Cakes_biscuits,Time,,
49 - Q72 - Unit of time,X49...Q72...Unit.of.time,"What processed foods do you consume? Please, indicate if you consume these beverages daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively.  Cheese - Unit of time","What.processed.foods.do.you.consume?.Please,.indicate.if.you.consume.these.beverages.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively. .Cheese.-.Unit.of.time",Processed_foods_Cheese_Time,Diet,Processed_foods,Cheese,Time,,
49 - Q72 - Unit of time,X49...Q72...Unit.of.time,"What processed foods do you consume? Please, indicate if you consume these beverages daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively.  Crisps - Unit of time","What.processed.foods.do.you.consume?.Please,.indicate.if.you.consume.these.beverages.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively. .Crisps.-.Unit.of.time",Processed_foods_Crisps_Time,Diet,Processed_foods,Crisps,Time,,
49 - Q72 - Unit of time,X49...Q72...Unit.of.time,"What processed foods do you consume? Please, indicate if you consume these beverages daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively.  Deep freeze pizza - Unit of time","What.processed.foods.do.you.consume?.Please,.indicate.if.you.consume.these.beverages.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively. .Deep.freeze.pizza.-.Unit.of.time",Processed_foods_Deep_freeze_pizza_Time,Diet,Processed_foods,Deep_freeze_pizza,Time,,
49 - Q72 - Unit of time,X49...Q72...Unit.of.time,"What processed foods do you consume? Please, indicate if you consume these beverages daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively.  Ham - Unit of time","What.processed.foods.do.you.consume?.Please,.indicate.if.you.consume.these.beverages.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively. .Ham.-.Unit.of.time",Processed_foods_Ham_Time,Diet,Processed_foods,Ham,Time,,
49 - Q72 - Unit of time,X49...Q72...Unit.of.time,"What processed foods do you consume? Please, indicate if you consume these beverages daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively.  Microwave meals or ready-to-eat meals - Unit of time","What.processed.foods.do.you.consume?.Please,.indicate.if.you.consume.these.beverages.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively. .Microwave.meals.or.ready-to-eat.meals.-.Unit.of.time",Processed_foods_Microwave_Time,Diet,Processed_foods,Microwave,Time,,
49 - Q72 - Unit of time,X49...Q72...Unit.of.time,"What processed foods do you consume? Please, indicate if you consume these beverages daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively.  Pastries - Unit of time","What.processed.foods.do.you.consume?.Please,.indicate.if.you.consume.these.beverages.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively. .Pastries.-.Unit.of.time",Processed_foods_Pastries_Time,Diet,Processed_foods,Pastries,Time,,
49 - Q72 - Unit of time,X49...Q72...Unit.of.time,"What processed foods do you consume? Please, indicate if you consume these beverages daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively.  Pâté - Unit of time","What.processed.foods.do.you.consume?.Please,.indicate.if.you.consume.these.beverages.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively. .Pâté.-.Unit.of.time",Processed_foods_Pate_Time,Diet,Processed_foods,Pate,Time,,
49 - Q72 - Unit of time,X49...Q72...Unit.of.time,"What processed foods do you consume? Please, indicate if you consume these beverages daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively.  Pies - Unit of time","What.processed.foods.do.you.consume?.Please,.indicate.if.you.consume.these.beverages.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively. .Pies.-.Unit.of.time",Processed_foods_Pies_Time,Diet,Processed_foods,Pies,Time,,
49 - Q72 - Unit of time,X49...Q72...Unit.of.time,"What processed foods do you consume? Please, indicate if you consume these beverages daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively.  Salami  - Unit of time","What.processed.foods.do.you.consume?.Please,.indicate.if.you.consume.these.beverages.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively. .Salami..-.Unit.of.time",Processed_foods_Salami_Time,Diet,Processed_foods,Salami,Time,,
49 - Q72 - Unit of time,X49...Q72...Unit.of.time,"What processed foods do you consume? Please, indicate if you consume these beverages daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively.  Sauces, dressings, dips and creams - Unit of time","What.processed.foods.do.you.consume?.Please,.indicate.if.you.consume.these.beverages.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively. .Sauces,.dressings,.dips.and.creams.-.Unit.of.time",Processed_foods_Sauces_to_creams_Time,Diet,Processed_foods,Sauces_to_creams,Time,,
49 - Q72 - Unit of time,X49...Q72...Unit.of.time,"What processed foods do you consume? Please, indicate if you consume these beverages daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively.  Sausage - Unit of time","What.processed.foods.do.you.consume?.Please,.indicate.if.you.consume.these.beverages.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively. .Sausage.-.Unit.of.time",Processed_foods_Sausage_Time,Diet,Processed_foods,Sausage,Time,,
49 - Q72 - Unit of time,X49...Q72...Unit.of.time,"What processed foods do you consume? Please, indicate if you consume these beverages daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively.  Tinned vegetables - Unit of time","What.processed.foods.do.you.consume?.Please,.indicate.if.you.consume.these.beverages.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively. .Tinned.vegetables.-.Unit.of.time",Processed_foods_Tinned_vegetables_Time,Diet,Processed_foods,Tinned_vegetable,Time,,
50 - Q64 - Quantity (in grams),X50...Q64...Quantity.(in.grams),"Which fermented foods do you consume? Please indicate the quantity as cl per unit of time or as grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume these beverages daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively.  Beer  - Quantity (in grams)","Which.fermented.foods.do.you.consume?.Please.indicate.the.quantity.as.cl.per.unit.of.time.or.as.grams.per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only..In.the.last.column,.indicate.if.you.consume.these.beverages.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively. .Beer..-.Quantity.(in.grams)",Fermented_food_Beer_Quantity_g,Diet,Fermented_food,Beer,Quantity,g,
50 - Q64 - Quantity (in cl),X50...Q64...Quantity.(in.cl),"Which fermented foods do you consume? Please indicate the quantity as cl per unit of time or as grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume these beverages daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively.  Beer  - Quantity (in cl)","Which.fermented.foods.do.you.consume?.Please.indicate.the.quantity.as.cl.per.unit.of.time.or.as.grams.per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only..In.the.last.column,.indicate.if.you.consume.these.beverages.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively. .Beer..-.Quantity.(in.cl)",Fermented_food_Beer_Quantity_cL,Diet,Fermented_food,Beer,Quantity,cL,
50 - Q64 - Unit of time,X50...Q64...Unit.of.time,"Which fermented foods do you consume? Please indicate the quantity as cl per unit of time or as grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume these beverages daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively.  Beer  - Unit of time","Which.fermented.foods.do.you.consume?.Please.indicate.the.quantity.as.cl.per.unit.of.time.or.as.grams.per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only..In.the.last.column,.indicate.if.you.consume.these.beverages.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively. .Beer..-.Unit.of.time",Fermented_food_Beer_Time,Diet,Fermented_food,Beer,Time,,
50 - Q64 - Quantity (in grams),X50...Q64...Quantity.(in.grams),"Which fermented foods do you consume? Please indicate the quantity as cl per unit of time or as grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume these beverages daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively.  Cheese - Quantity (in grams)","Which.fermented.foods.do.you.consume?.Please.indicate.the.quantity.as.cl.per.unit.of.time.or.as.grams.per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only..In.the.last.column,.indicate.if.you.consume.these.beverages.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively. .Cheese.-.Quantity.(in.grams)",Fermented_food_Cheese_Quantity_g,Diet,Fermented_food,Cheese,Quantity,g,
